City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,76.95,84,100,25.75,PF,1678226997
1,bethalto,38.9092,-90.0407,53.22,63,53,4.0,US,1678226997
2,revda,56.801,59.9303,18.68,93,98,10.4,RU,1678226998
3,albany,42.6001,-73.9662,31.17,58,95,8.01,US,1678226934
4,upernavik,72.7868,-56.1549,7.39,93,71,5.39,GL,1678226998
5,bluff,-46.6,168.3333,62.69,81,10,4.43,NZ,1678226999
6,dingli,35.8614,14.3822,53.82,82,20,9.22,MT,1678226999
7,port alfred,-33.5906,26.891,70.18,95,100,3.0,ZA,1678227000
8,khatanga,71.9667,102.5,-35.36,100,96,4.36,RU,1678227000
9,mataura,-46.1927,168.8643,70.5,56,23,4.16,NZ,1678227001
10,jamsa,61.8642,25.19,11.12,95,100,6.51,FI,1678227001
11,ushuaia,-54.8,-68.3,49.62,94,95,10.56,AR,1678227001
12,bereda,43.2686,-7.5406,54.41,85,99,11.68,ES,1678227002
13,tromso,69.6496,18.957,8.62,78,0,1.14,NO,1678227003
14,camocim,-2.9022,-40.8411,80.4,79,11,16.4,BR,1678226748
15,bredasdorp,-34.5322,20.0403,64.42,87,96,1.83,ZA,1678227004
16,bambous virieux,-20.3428,57.7575,75.22,82,86,13.49,MU,1678227004
17,okhotsk,59.3833,143.3,-11.24,88,100,6.58,RU,1678227004
18,tuatapere,-46.1333,167.6833,67.44,69,6,3.89,NZ,1678227005
19,sylvania,41.7189,-83.713,44.96,39,0,4.61,US,1678227005
20,ponta do sol,32.6667,-17.1,66.7,83,98,5.26,PT,1678226774
21,zhigansk,66.7697,123.3711,-31.5,100,95,7.65,RU,1678227006
22,ocos,14.5094,-92.1933,86.18,64,100,9.69,GT,1678226727
23,hithadhoo,-0.6,73.0833,82.47,74,20,12.1,MV,1678227006
24,pakokku,21.3333,95.1,77.72,30,4,1.66,MM,1678227007
25,port hedland,-20.3167,118.5667,82.45,89,40,5.75,AU,1678227007
26,mauganj,24.6833,81.8833,73.36,30,97,5.64,IN,1678227008
27,norman wells,65.282,-126.8329,-2.16,65,0,11.5,CA,1678226755
28,ribeira grande,38.5167,-28.7,60.78,83,18,25.01,PT,1678227009
29,tuktoyaktuk,69.4541,-133.0374,-7.73,87,19,14.88,CA,1678227009
30,baracoa,20.3467,-74.4958,77.45,58,0,6.33,CU,1678227010
31,kieta,-6.2167,155.6333,79.34,81,100,1.39,PG,1678226872
32,mar del plata,-38.0023,-57.5575,75.94,74,37,1.99,AR,1678227011
33,bathsheba,13.2167,-59.5167,79.41,69,20,12.66,BB,1678227011
34,san carlos de bariloche,-41.1456,-71.3082,59.2,57,100,7.38,AR,1678226997
35,ugoofaaru,5.6667,73.0,80.76,78,8,13.62,MV,1678227012
36,fortuna,40.5982,-124.1573,46.65,93,100,11.5,US,1678227012
37,vaini,-21.2,-175.2,82.56,61,20,8.05,TO,1678227012
38,beira,-19.8436,34.8389,75.06,84,3,8.79,MZ,1678226880
39,namibe,-15.1961,12.1522,70.32,80,45,2.89,AO,1678226793
40,funadhoo,6.15,73.2667,80.58,78,6,11.5,MV,1678227013
41,pozoblanco,38.3791,-4.8483,52.47,87,99,6.96,ES,1678227013
42,neiafu,-18.65,-173.9833,84.88,70,75,5.75,TO,1678227014
43,ondjiva,-17.0667,15.7333,73.83,48,33,4.12,AO,1678227014
44,narsaq,60.9167,-46.05,35.82,76,19,8.21,GL,1678226789
45,aden,12.7794,45.0367,77.85,75,17,18.19,YE,1678227015
46,severo-kurilsk,50.6789,156.125,33.12,93,97,8.57,RU,1678226741
47,souillac,-20.5167,57.5167,77.59,85,89,11.34,MU,1678227016
48,touros,-5.1989,-35.4608,80.55,79,97,15.82,BR,1678226891
49,avarua,-21.2078,-159.775,86.05,79,75,13.8,CK,1678227016
50,sesheke,-17.4759,24.2968,73.33,72,100,1.52,ZM,1678227017
51,upata,8.0086,-62.3989,81.72,53,95,6.26,VE,1678227017
52,tiksi,71.6872,128.8694,-13.45,96,100,5.93,RU,1678226749
53,cape town,-33.9258,18.4232,70.38,71,100,7.0,ZA,1678226985
54,katsuura,35.1333,140.3,55.94,64,0,7.94,JP,1678227018
55,te anau,-45.4167,167.7167,64.54,76,30,5.23,NZ,1678227018
56,camopi,3.1655,-52.3158,73.94,90,93,3.6,GF,1678227019
57,barrow,71.2906,-156.7887,21.22,86,0,9.22,US,1678227019
58,provideniya,64.3833,-173.3,16.0,92,100,1.01,RU,1678227019
59,port shepstone,-30.7414,30.455,73.15,90,32,11.03,ZA,1678226912
60,luoyang,34.6836,112.4536,60.46,22,100,3.69,CN,1678227020
61,sur,22.5667,59.5289,76.15,47,5,7.43,OM,1678227021
62,jamestown,42.097,-79.2353,33.71,51,0,19.57,US,1678226832
63,sovetskiy,61.3614,63.5842,-6.03,96,100,4.7,RU,1678227021
64,faanui,-16.4833,-151.75,82.02,73,96,14.0,PF,1678226847
65,nanortalik,60.1432,-45.2371,29.95,84,43,5.08,GL,1678227022
66,atuona,-9.8,-139.0333,79.61,76,52,8.59,PF,1678227023
67,asfi,32.2994,-9.2372,61.41,93,27,5.84,MA,1678227024
68,zyryanka,65.75,150.85,-16.29,91,100,5.1,RU,1678227024
69,kapaa,22.0752,-159.319,80.47,60,1,3.0,US,1678227024
70,grindavik,63.8424,-22.4338,19.87,58,40,31.07,IS,1678227025
71,hobart,-42.8794,147.3294,51.66,70,75,24.16,AU,1678226871
72,saint-philippe,-21.3585,55.7679,78.39,88,82,11.54,RE,1678227025
73,malanville,11.8685,3.3899,88.93,18,92,4.23,BJ,1678227026
74,fez,34.0372,-4.9998,59.25,94,75,4.61,MA,1678227026
75,kirksville,40.1948,-92.5833,48.15,56,0,13.8,US,1678226861
76,kunya,12.2233,8.5325,82.13,11,86,3.76,NG,1678227027
77,port blair,11.6667,92.75,78.12,75,4,9.22,IN,1678227028
78,terenos,-20.4422,-54.8603,76.71,88,40,2.3,BR,1678226827
79,hilo,19.7297,-155.09,82.27,81,75,13.8,US,1678227015
80,maniitsoq,65.4167,-52.9,24.71,91,7,10.96,GL,1678227029
81,kaitangata,-46.2817,169.8464,67.87,60,74,3.11,NZ,1678227029
82,segovia,41.1667,-4.0,47.43,83,85,8.97,ES,1678227029
83,half moon bay,37.4636,-122.4286,58.41,59,75,9.22,US,1678227030
84,puerto ayora,-0.7393,-90.3518,87.76,92,100,8.01,EC,1678227030
85,ixtapa,20.7,-105.2,74.43,64,20,12.66,MX,1678227031
86,kodiak,57.79,-152.4072,40.51,65,0,3.44,US,1678227031
87,basco,20.4487,121.9702,71.74,65,72,14.56,PH,1678227031
88,petropavlovsk-kamchatskiy,53.0452,158.6483,18.19,73,75,6.71,RU,1678227032
89,guaruja,-23.9931,-46.2564,83.89,26,99,1.99,BR,1678227032
90,cabo san lucas,22.8909,-109.9124,79.61,41,40,8.05,MX,1678226817
91,yuzhou,34.1628,113.4639,61.48,41,100,6.24,CN,1678227033
92,miles city,46.4083,-105.8406,20.37,73,100,11.5,US,1678227033
93,punta arenas,-53.15,-70.9167,51.91,62,40,25.32,CL,1678227034
94,eenhana,-17.4667,16.3333,71.62,55,38,7.02,NA,1678227034
95,balkanabat,39.5108,54.3671,47.55,83,4,5.39,TM,1678227034
96,cherskiy,68.75,161.3,-30.33,97,39,3.04,RU,1678226764
97,carnarvon,-24.8667,113.6333,77.72,76,0,13.87,AU,1678227035
98,bethel,41.3712,-73.414,40.66,51,100,25.32,US,1678227035
99,inta,66.0317,60.1659,-20.51,97,19,6.8,RU,1678227036
100,kosikha,53.3617,84.5822,36.64,100,100,16.69,RU,1678227036
101,penzance,50.1186,-5.5371,46.76,93,100,26.33,GB,1678227038
102,butaritari,3.0707,172.7902,81.68,73,57,14.9,KI,1678227039
103,korla,41.7597,86.1469,45.48,50,1,2.28,CN,1678227039
104,thompson,55.7435,-97.8558,8.11,81,100,4.99,CA,1678227040
105,saint george,37.1041,-113.5841,58.42,32,0,9.22,US,1678227040
106,platikambos,39.6167,22.5333,47.39,93,20,0.0,GR,1678227040
107,nikolskoye,59.7035,30.7861,19.29,97,83,5.12,RU,1678227041
108,yellowknife,62.456,-114.3525,5.79,88,99,9.84,CA,1678227028
109,gisborne,-38.6533,178.0042,65.19,58,2,1.79,NZ,1678227041
110,busselton,-33.65,115.3333,57.63,68,95,13.94,AU,1678227042
111,dikson,73.5069,80.5464,-36.18,99,44,6.26,RU,1678227042
112,lebu,-37.6167,-73.65,62.96,84,99,12.39,CL,1678227042
113,wahiawa,21.5028,-158.0236,75.52,47,75,10.36,US,1678227042
114,airai,-8.9266,125.4092,59.52,88,100,1.5,TL,1678227043
115,yokadouma,3.5167,15.05,74.95,46,55,1.95,CM,1678227043
116,asau,46.4333,26.4,38.28,82,100,7.16,RO,1678227044
117,yar-sale,66.8333,70.8333,-9.08,95,98,14.56,RU,1678227044
118,cayenne,4.9333,-52.3333,80.64,78,20,6.91,GF,1678227044
119,bengkulu,-3.8004,102.2655,74.34,87,23,3.85,ID,1678227045
120,tasiilaq,65.6145,-37.6368,17.76,84,66,4.07,GL,1678227045
121,scarborough,54.2797,-0.4044,30.65,83,55,5.12,GB,1678227045
122,salinas,36.6777,-121.6555,57.42,48,0,13.8,US,1678227046
123,antofagasta,-23.65,-70.4,78.08,71,11,9.69,CL,1678227046
124,coahuayana,18.7333,-103.6833,83.28,55,57,8.01,MX,1678226857
125,gazli,40.1333,63.45,55.22,56,98,30.91,UZ,1678227046
126,nemuro,43.3236,145.575,32.77,91,25,9.04,JP,1678227047
127,san patricio,28.017,-97.5169,86.72,57,26,17.76,US,1678227047
128,yerbogachen,61.2767,108.0108,20.3,95,100,8.34,RU,1678227047
129,nioro,13.35,-15.75,88.52,16,80,4.03,GM,1678227048
130,hamilton,39.1834,-84.5333,51.26,38,0,14.97,US,1678226758
131,beringovskiy,63.05,179.3167,-7.56,85,7,2.3,RU,1678227048
132,chapais,49.7834,-74.8492,19.18,93,100,11.92,CA,1678227049
133,broome,42.2506,-75.833,32.9,68,100,16.11,US,1678227049
134,cidreira,-30.1811,-50.2056,75.45,87,18,5.79,BR,1678227049
135,longyearbyen,78.2186,15.6401,8.44,61,75,11.5,SJ,1678227050
136,hasaki,35.7333,140.8333,37.8,61,0,7.94,JP,1678227050
137,kloulklubed,7.0419,134.2556,77.5,79,33,12.06,PW,1678227051
138,bath,51.3779,-2.3591,37.94,86,100,6.98,GB,1678226963
139,lorengau,-2.0226,147.2712,79.11,83,100,8.77,PG,1678227051
140,mount isa,-20.7333,139.5,69.57,100,75,18.41,AU,1678227051
141,hermanus,-34.4187,19.2345,64.8,86,100,4.29,ZA,1678227052
142,otradnoye,59.7775,30.8181,19.45,97,84,5.01,RU,1678227052
